5076,18504,1:1,1215289
55719,226151,1:1,1193565
84545,94067,1:1,1242109
57715,26456,1:1,1219192
56652,226153,1:1,889697
84445,226154,1:1,965452
79955,100503041,1:1,814866
81855,94280,1:1,1204109
81621,107250,1:1,1160961
3195,21908,1:1,964070
10660,16814,1:1,963408
8945,12234,1:1,961441
25911,226162,1:1,1211166
27343,56626,1:1,895573
6468,MOUSE26171,1:1,1151769
2253,14179,1:1,911340
10360,18150,1:1,965946
10724,76055,1:1,665560
30819,80906,1:1,962230
79591,71617,1:1,1205241
79803,20170,1:1,1179091
8861,MOUSE26305,1:1,972489
23082,226169,1:1,967183
9221,70769,1:1,962259
83401,12686,1:1,802646
5309,18742,1:1,939454
8729,107338,1:1,697148
4791,18034,1:1,1241914
5662,73728,1:1,699116
79176,68431,1:1,963611
79004,67116,1:1
79946,MOUSE26537,1:1,415891
79847,75146,1:1,964720
10121,54130,1:1,767174
51684,24069,1:1,1227374
HUMAN02765,93679,1:1,965433
403,56350,1:1,953183
118980,94279,1:1,1204108
54838,226178,1:1,1225577
1586,13074,1:1,930622
119032,66439,n:1,1234404
119032,66439,n:1
57412,57344,1:1,661136
54805,94219,1:1,708581
22978,76952,1:1,1175934
9118,226180,1:1,966668
84108,71041,1:1,761497
6877,226182,1:1,960976
84833,66477,1:1,1213109
22984,18572,1:1,961105
51063,72691,1:1,1237341
255022,546729,1:1,1167630
119395,MOUSE26620,1:1,1237342
9148,18011,1:1,1231957
9644,14218,1:1,970021
79991,108689,1:1,1187635
9748,20874,1:1,962048
1308,12821,1:1,965312
119392,67788,1:1
80217,100048534,1:1,834569
9446,14873,1:1,856063
119391,68214,1:1,856085
85450,414801,1:1,414072
159686,381229,1:1,961851
22986,66673,1:1,1219999
114815,MOUSE26689,1:1,1219996
7511,170750,1:1,1249422
120,27360,1:1,1208997
4601,17859,1:1,1228525
10285,76479,1:1,1240072
1847,240672,1:1,1168460
9126,13006,1:1,960930
282996,73713,1:1,1169118
27250,18569,1:1,1236724
92482,100503572,1:1,1210866
8036,56392,1:1,962616
150,11551,1:1,963750
57678,14732,1:1,667565
6975,21684,1:1,1186412
51703,433256,1:1,961547
64429,66980,1:1,965187
143187,53611,1:1,839249
6934,21416,1:1,965073
3026,226243,1:1,971266
4892,18175,1:1,342001
840,12369,1:1,923421
79949,226245,1:1,1172293
9937,55947,1:1,1234567
374354,66866,1:1,961813
153,11554,1:1,969399
55088,213993,1:1,962650
56165,83561,1:1,1211063
340706,240675,1:1,1079467
84632,MOUSE25024,1:1,1163799
57700,226252,1:1,1227154
142940,72133,1:1,1244219
26033,226255,1:1,1079299
2674,14585,1:1,1140833
374355,75645,1:1,959884
5406,69060,1:1,965628
5407,18946,1:1,966086
HUMAN03084,18947,1:1,969524
143379,67507,1:1,1156210
259217,73442,1:1,769988
387712,226265,1:1,1250157
57698,71653,1:1,1232911
11023,22326,1:1,1194346
338567,332396,1:1,675576
6571,214084,1:1,961801
118987,107368,1:1,1240892
2018,13797,1:1,969114
22841,74998,1:1,961953
63877,76539,1:1,1174529
2834,226278,1:1,979911
143384,78832,1:1,1243294
340719,332397,1:1,1136562
8661,13669,1:1,961001
404636,67894,1:1,813967
119559,94281,1:1,1204111
10935,11757,1:1,961136
2869,14773,1:1,962225
6001,67865,1:1,1164120
7073,21843,1:1,961831
9531,29810,1:1,964934
22876,101490,1:1,1245399
79892,210711,1:1,1195124
11196,207352,1:1,672994
196051,381925,1:1,788270
55717,207425,1:1,736607
2263,14183,1:1,963905
11101,11907,1:1,808566
54780,67872,1:1,880279
